@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,92,0,258,0,1,1,0.262857,1,0.737143,0.41629,1,1,0
1,92,0,254,4,0.984496,1,0.265896,1,0.734104,0.420091,0.988571,1.011561,0
2,92,0,253,5,0.98062,1,0.266667,1,0.733333,0.421053,0.985714,1.014493,0
3,92,0,252,6,0.976744,1,0.267442,1,0.732558,0.422018,0.982857,1.017442,0
4,92,0,251,7,0.972868,1,0.268222,1,0.731778,0.422989,0.98,1.020408,0
5,92,0,250,8,0.968992,1,0.269006,1,0.730994,0.423963,0.977143,1.023392,0
6,92,0,249,9,0.965116,1,0.269795,1,0.730205,0.424942,0.974286,1.026393,0
7,92,0,248,10,0.96124,1,0.270588,1,0.729412,0.425926,0.971429,1.029412,0
8,92,0,247,11,0.957364,1,0.271386,1,0.728614,0.426914,0.968571,1.032448,0
9,92,0,246,12,0.953488,1,0.272189,1,0.727811,0.427907,0.965714,1.035503,0
10,92,0,245,13,0.949612,1,0.272997,1,0.727003,0.428904,0.962857,1.038576,0
11,92,0,244,14,0.945736,1,0.27381,1,0.72619,0.429907,0.96,1.041667,0
12,92,0,243,15,0.94186,1,0.274627,1,0.725373,0.430913,0.957143,1.044776,0
13,92,0,242,16,0.937984,1,0.275449,1,0.724551,0.431925,0.954286,1.047904,0
14,92,0,241,17,0.934109,1,0.276276,1,0.723724,0.432941,0.951429,1.051051,0
15,92,0,240,18,0.930233,1,0.277108,1,0.722892,0.433962,0.948571,1.054217,0
16,92,0,239,19,0.926357,1,0.277946,1,0.722054,0.434988,0.945714,1.057402,0
17,92,0,238,20,0.922481,1,0.278788,1,0.721212,0.436019,0.942857,1.060606,0
18,92,0,237,21,0.918605,1,0.279635,1,0.720365,0.437055,0.94,1.06383,0
19,92,0,236,22,0.914729,1,0.280488,1,0.719512,0.438095,0.937143,1.067073,0
20,92,0,235,23,0.910853,1,0.281346,1,0.718654,0.439141,0.934286,1.070336,0
21,92,0,234,24,0.906977,1,0.282209,1,0.717791,0.440191,0.931429,1.07362,0
22,92,0,233,25,0.903101,1,0.283077,1,0.716923,0.441247,0.928571,1.076923,0
23,92,0,232,26,0.899225,1,0.283951,1,0.716049,0.442308,0.925714,1.080247,0
24,92,0,231,27,0.895349,1,0.28483,1,0.71517,0.443373,0.922857,1.083591,0
25,92,0,230,28,0.891473,1,0.285714,1,0.714286,0.444444,0.92,1.086957,0
26,92,0,229,29,0.887597,1,0.286604,1,0.713396,0.445521,0.917143,1.090343,0
27,92,0,228,30,0.883721,1,0.2875,1,0.7125,0.446602,0.914286,1.09375,0
28,92,0,227,31,0.879845,1,0.288401,1,0.711599,0.447689,0.911429,1.097179,0
29,92,0,226,32,0.875969,1,0.289308,1,0.710692,0.44878,0.908571,1.100629,0
