@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,150,0,200,0,1,1,0.428571,1,0.571429,0.6,1,1,0.002709
1,150,0,199,1,0.995,1,0.429799,1,0.570201,0.601202,0.997143,1.002865,0.002969
2,150,0,198,2,0.99,1,0.431034,1,0.568966,0.60241,0.994286,1.005747,0.006216
3,150,0,197,3,0.985,1,0.432277,1,0.567723,0.603622,0.991429,1.008646,0.006552
4,150,0,196,4,0.98,1,0.433526,1,0.566474,0.604839,0.988571,1.011561,0.00727
5,150,0,195,5,0.975,1,0.434783,1,0.565217,0.606061,0.985714,1.014493,0.008449
6,150,0,194,6,0.97,1,0.436047,1,0.563953,0.607287,0.982857,1.017442,0.010982
7,150,0,193,7,0.965,1,0.437318,1,0.562682,0.608519,0.98,1.020408,0.011054
8,150,0,192,8,0.96,1,0.438596,1,0.561404,0.609756,0.977143,1.023392,0.013613
9,150,0,191,9,0.955,1,0.439883,1,0.560117,0.610998,0.974286,1.026393,0.016858
10,150,0,190,10,0.95,1,0.441176,1,0.558824,0.612245,0.971429,1.029412,0.017061
11,150,0,189,11,0.945,1,0.442478,1,0.557522,0.613497,0.968571,1.032448,0.018604
12,150,0,188,12,0.94,1,0.443787,1,0.556213,0.614754,0.965714,1.035503,0.018943
13,150,0,187,13,0.935,1,0.445104,1,0.554896,0.616016,0.962857,1.038576,0.022015
14,150,0,186,14,0.93,1,0.446429,1,0.553571,0.617284,0.96,1.041667,0.022634
15,150,0,185,15,0.925,1,0.447761,1,0.552239,0.618557,0.957143,1.044776,0.024352
16,150,0,184,16,0.92,1,0.449102,1,0.550898,0.619835,0.954286,1.047904,0.024741
17,150,0,183,17,0.915,1,0.45045,1,0.54955,0.621118,0.951429,1.051051,0.025893
18,150,0,182,18,0.91,1,0.451807,1,0.548193,0.622407,0.948571,1.054217,0.030651
19,150,0,181,19,0.905,1,0.453172,1,0.546828,0.623701,0.945714,1.057402,0.031108
20,150,0,180,20,0.9,1,0.454545,1,0.545455,0.625,0.942857,1.060606,0.031161
21,150,0,179,21,0.895,1,0.455927,1,0.544073,0.626305,0.94,1.06383,0.031161
22,150,0,178,22,0.89,1,0.457317,1,0.542683,0.627615,0.937143,1.067073,0.031369
23,150,0,177,23,0.885,1,0.458716,1,0.541284,0.628931,0.934286,1.070336,0.034099
24,150,0,176,24,0.88,1,0.460123,1,0.539877,0.630252,0.931429,1.07362,0.03418
25,150,0,175,25,0.875,1,0.461538,1,0.538462,0.631579,0.928571,1.076923,0.034819
26,150,0,174,26,0.87,1,0.462963,1,0.537037,0.632911,0.925714,1.080247,0.034946
27,150,0,173,27,0.865,1,0.464396,1,0.535604,0.634249,0.922857,1.083591,0.036741
28,150,0,172,28,0.86,1,0.465839,1,0.534161,0.635593,0.92,1.086957,0.037043
29,150,0,171,29,0.855,1,0.46729,1,0.53271,0.636943,0.917143,1.090343,0.038349
30,150,0,170,30,0.85,1,0.46875,1,0.53125,0.638298,0.914286,1.09375,0.039263
31,150,0,169,31,0.845,1,0.470219,1,0.529781,0.639659,0.911429,1.097179,0.039271
32,150,0,168,32,0.84,1,0.471698,1,0.528302,0.641026,0.908571,1.100629,0.03936
33,150,0,167,33,0.835,1,0.473186,1,0.526814,0.642398,0.905714,1.104101,0.039742
34,150,0,166,34,0.83,1,0.474684,1,0.525316,0.643777,0.902857,1.107595,0.039801
35,150,0,165,35,0.825,1,0.47619,1,0.52381,0.645161,0.9,1.111111,0.040085
36,150,0,164,36,0.82,1,0.477707,1,0.522293,0.646552,0.897143,1.11465,0.040495
37,150,0,163,37,0.815,1,0.479233,1,0.520767,0.647948,0.894286,1.118211,0.040981
38,150,0,162,38,0.81,1,0.480769,1,0.519231,0.649351,0.891429,1.121795,0.04188
39,150,0,161,39,0.805,1,0.482315,1,0.517685,0.650759,0.888571,1.125402,0.041991
